Company/Brand,Sector,Amount,HeadQuarter,Funding Year,Founded,Investor
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",0.0,"Cochin, Kerala, India",2018,2020.0,unknown
SBI Life,Insurance,742000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",3980000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",10000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Khidki,"Artificial Intelligence, Social",0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Swiggy,"Food Delivery, Food Processing, Internet",1000000000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Milkbasket,"E-Commerce, Food and Beverage, Internet",7000000.0,"Haryana, Haryana, India",2018,2020.0,unknown
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",0.0,"Anand, Gujarat, India",2018,2020.0,unknown
Toppr,"EdTech, Education, Knowledge Management",35000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Vivriti Capital,Financial Services,28500000.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",2000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Stones2Milestones,"E-Learning, Education, Higher Education",0.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Generico,"Health Care, Medical, Pharmaceutical",0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Adiuvo Diagnostics,Health Diagnostics,0.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
OneAssist,"Financial Services, SaaS, Security",2400000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",30000000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Moglix,"B2B, E-Commerce, Mobile",23000000.0,"Noida, Uttar Pradesh, India",2018,2020.0,unknown
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
MadGuy Labs,E-Learning,150000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",0.0,"Pune, Maharashtra, India",2018,2020.0,unknown
FLEECA,Undisclosed,0.0,"Jaipur, Rajasthan, India",2018,2020.0,unknown
Shop101,"Apps, E-Commerce, Internet",11000000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Housejoy,"Beauty, Fitness, Home Services, Internet",3240000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Ambee,"Health Care, Medical Device, Public Safety",0.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
